name,mission,star_id,ra,dec,dist_pc,disposition,probability,radius_earth,period_days,top_reasons
K00773.01,Kepler,11507101,291.72202,49.480869,1079.54,CONFIRMED,0.9788431244526198,2.82,38.3775486,log_prad:+2.42;duration_ratio:+1.14;log_depth:+1.02
K00757.02,Kepler,10910878,286.99948,48.37579,963.24,CONFIRMED,0.9905118412219188,3.86,41.19725502,log_prad:+2.22;duration_ratio:+1.05;log_depth:+0.97
K00757.03,Kepler,10910878,286.99948,48.37579,963.24,CONFIRMED,0.9912270540639984,2.65,6.252962249,log_prad:+2.21;duration_ratio:+0.96;log_period:+0.77
K00758.01,Kepler,10987985,297.02563,48.478588,731.91,CONFIRMED,0.973355309787164,3.1,16.01308419,log_prad:+2.53;duration_ratio:+1.23;log_period:+0.90
K00759.01,Kepler,11018648,285.71854,48.505859,796.32,CONFIRMED,0.9669121319710288,3.36,32.62876672,log_prad:+2.15;duration_ratio:+1.06;log_depth:+0.60
K00759.02,Kepler,11018648,285.71854,48.505859,796.32,CONFIRMED,0.8739242567533013,2.12,91.7732862,log_prad:+1.90;duration_ratio:+1.14;log_depth:+1.00
K00760.01,Kepler,11138155,292.16705,48.727589,1267.15,CONFIRMED,0.9000431728909164,12.21,4.959319244,log_prad:+1.74;duration_ratio:+1.37;log_period:+0.66
K00761.01,Kepler,11152159,297.92365,48.777321,1003.68,FALSE POSITIVE,0.08296967195563226,6.54,2.701287801,duration_ratio:-2.82;log_prad:+0.97;log_depth:+0.46
K00762.01,Kepler,11153539,298.45685,48.791592,1229.57,CONFIRMED,0.7652202505205404,2.1,4.49876511,log_prad:+1.87;log_period:+0.96;koi_steff:-0.74
K00763.01,Kepler,11242721,291.0939,48.933842,1452.01,FALSE POSITIVE,0.5936286708312088,12.42,19.651209505,koi_steff:-0.99;log_prad:+0.90;log_period:+0.43
K00115.01,Kepler,9579641,287.88733,46.276241,450.99,CONFIRMED,0.9881535667539145,2.94,5.412203927,log_prad:+2.31;log_period:+0.92;log_depth:+0.72
K00764.01,Kepler,11304958,295.55505,49.017342,1073.89,CONFIRMED,0.7503628627336212,5.5,41.43958662,log_prad:+1.63;log_insol:+0.46;log_depth:+0.45
K00765.01,Kepler,11391957,285.49924,49.277351,852.33,CONFIRMED,0.948640641170281,2.52,8.35389523,log_prad:+2.26;duration_ratio:+0.72;log_period:+0.60
K00766.01,Kepler,11403044,291.93616,49.253979,1584.67,CONFIRMED,0.9242106250871508,4.43,4.125543472,log_prad:+1.81;duration_ratio:+1.42;log_depth:+0.83
K00767.01,Kepler,11414511,297.01547,49.225288,897.49,CONFIRMED,0.9639891869124633,12.21,2.816504904,log_prad:+2.18;duration_ratio:+1.72;log_depth:+0.72
K00768.01,Kepler,11442465,284.17233,49.360722,755.98,FALSE POSITIVE,0.03269465389768791,7.34,33.93373447,duration_ratio:-2.64;log_prad:+0.97;koi_steff:+0.43
K00786.01,Kepler,12110942,291.62241,50.61824,1054.66,CONFIRMED,0.858973428884647,1.89,3.689920099,log_prad:+1.71;duration_ratio:+0.98;koi_steff:-0.82
K00787.01,Kepler,12366084,295.81616,51.121738,1219.47,CONFIRMED,0.9611542328488215,3.25,4.431238488,log_prad:+2.46;log_depth:+1.07;duration_ratio:+0.97
K00787.02,Kepler,12366084,295.81616,51.121738,1219.47,CONFIRMED,0.9719230568986263,3.95,11.37936986,log_prad:+2.52;log_depth:+0.77;log_period:+0.74
K00788.01,Kepler,12404086,289.39972,51.25032,671.45,CONFIRMED,0.9864011408449765,3.07,26.39432897,log_prad:+2.33;duration_ratio:+1.21;log_depth:+0.70
K00116.01,Kepler,8395660,300.86398,44.337551,413.1,CONFIRMED,0.977945575338157,2.64,13.57078281,log_prad:+2.54;log_period:+0.92;log_depth:+0.88
K00115.02,Kepler,9579641,287.88733,46.276241,450.99,CONFIRMED,0.9530091945652728,1.79,7.12594387,log_prad:+1.81;log_period:+0.94;log_depth:+0.43
K00774.01,Kepler,11656840,288.98682,49.733742,1209.69,FALSE POSITIVE,0.05244391829749046,15.03,7.442652004,log_prad:-1.46;koi_steff:-1.02;duration_ratio:+0.60
K00775.01,Kepler,11754553,286.73804,49.97575,307.84,CONFIRMED,0.9864245322465516,2.0,16.38489988,log_prad:+1.96;duration_ratio:+1.28;koi_steff:+1.18
K00775.02,Kepler,11754553,286.73804,49.97575,307.84,CONFIRMED,0.9740682672402481,2.16,7.8774163,log_prad:+2.11;koi_steff:+1.24;duration_ratio:+1.01
K00775.03,Kepler,11754553,286.73804,49.97575,307.84,CONFIRMED,0.9784982238557498,1.99,36.4454001,log_prad:+1.94;duration_ratio:+1.33;koi_steff:+1.17
K00776.01,Kepler,11812062,290.78574,50.054119,932.23,CONFIRMED,0.8464136229504858,6.02,3.728732147,log_prad:+1.68;duration_ratio:+0.79;log_period:+0.58
K00777.01,Kepler,11818800,294.31686,50.080231,819.57,CANDIDATE,0.8233973233879016,7.51,40.4195037,log_prad:+1.70;log_depth:+0.59;log_period:+0.51
K00778.01,Kepler,11853255,285.17621,50.149818,289.27,CONFIRMED,0.925939022204786,1.99,2.243380573,log_prad:+1.74;koi_steff:+1.32;log_depth:+0.86
K00779.01,Kepler,11909839,289.23553,50.241001,1174.19,FALSE POSITIVE,0.2459544775054002,11.23,10.405998015,duration_ratio:-0.82;log_prad:+0.66;log_period:+0.39
K00780.01,Kepler,11918099,293.83331,50.23035,666.42,CONFIRMED,0.8171898604644298,2.34,2.337437946,log_prad:+1.82;duration_ratio:+1.19;log_depth:+0.78
K00780.02,Kepler,11918099,293.83331,50.23035,666.42,CANDIDATE,0.1477658423964227,19.45,7.2406612,log_prad:-1.20;duration_ratio:-1.14;koi_steff:+0.93
K00115.03,Kepler,9579641,287.88733,46.276241,450.99,CANDIDATE,0.4314446657067419,0.55,3.43591631,log_period:+0.76;duration_ratio:+0.50;log_prad:+0.29
K00781.01,Kepler,11923270,296.22195,50.28722,234.73,CONFIRMED,0.9901137461631012,2.65,11.59822233,log_prad:+2.30;koi_steff:+1.00;koi_slogg:+0.84
K00782.01,Kepler,11960862,290.09805,50.321609,1184.98,CONFIRMED,0.9255904468058253,5.31,6.575315881,log_prad:+1.29;log_period:+0.82;koi_steff:-0.55
K00783.01,Kepler,12020329,295.45529,50.49456,813.29,CONFIRMED,0.11568888398924407,4.86,7.275040844,log_prad:+1.67;duration_ratio:-1.34;log_period:+0.70
K00784.01,Kepler,12066335,293.97336,50.53191,306.01,CONFIRMED,0.9704821282973414,1.93,19.27153892,log_prad:+2.06;koi_steff:+1.18;duration_ratio:+0.95
K00784.02,Kepler,12066335,293.97336,50.53191,306.01,CONFIRMED,0.9557945828873253,1.91,10.06524317,log_prad:+1.85;koi_steff:+1.27;koi_srad:-0.71
K00785.01,Kepler,12070811,296.02133,50.56778,870.0,CONFIRMED,0.9087953562337086,2.66,12.3935651,log_prad:+2.52;log_depth:+1.03;log_period:+0.67
K00116.02,Kepler,8395660,300.86398,44.337551,413.1,CONFIRMED,0.9489720566932156,2.87,43.84439721,log_prad:+2.52;log_depth:+1.03;log_insol:+0.56
K00798.01,Kepler,3120431,292.31595,38.27029,864.74,FALSE POSITIVE,0.031966133320973554,21.55,3.341913228,duration_ratio:-1.17;log_prad:-1.11;log_depth:+0.62
K00799.01,Kepler,3246984,294.36819,38.31028,1010.4,FALSE POSITIVE,0.007797854986412148,32.43,1.626630225,log_prad:-2.26;duration_ratio:-1.14;log_period:-0.28
K00800.01,Kepler,3342970,291.65353,38.494659,1526.66,CONFIRMED,0.8970904774538464,3.12,2.711504086,log_prad:+2.01;duration_ratio:+1.40;log_depth:+1.17
K00800.02,Kepler,3342970,291.65353,38.494659,1526.66,CONFIRMED,0.9509646501737282,3.32,7.21203748,log_prad:+2.31;duration_ratio:+1.27;log_depth:+1.24
K00789.01,Kepler,12459725,291.0448,51.321671,1225.92,FALSE POSITIVE,0.7260271577419742,1.88,14.1798187,log_prad:+1.59;log_period:+0.87;log_depth:+0.55
K00790.01,Kepler,12470844,296.36652,51.319519,808.43,CONFIRMED,0.948479706754593,2.59,8.47237911,log_prad:+2.22;duration_ratio:+1.01;log_period:+0.55
K00790.02,Kepler,12470844,296.36652,51.319519,808.43,CONFIRMED,0.9502927889164723,2.36,60.4189369,log_prad:+2.21;duration_ratio:+1.34;log_depth:+1.20
K00791.01,Kepler,12644822,289.11221,51.737381,1012.82,CONFIRMED,0.3947371851848669,7.4,12.611904345,log_prad:+1.27;log_period:+0.61;log_depth:+0.42
K00792.01,Kepler,2440757,290.84369,37.728828,1520.78,FALSE POSITIVE,0.0014925021521209655,46.58,1.433769925,log_prad:-2.17;duration_ratio:-1.28;koi_srad:+1.00
K00793.01,Kepler,2445129,291.84891,37.713501,1100.73,FALSE POSITIVE,0.07592613766952284,28.59,10.31872301,duration_ratio:-1.35;log_prad:-0.97;log_depth:+0.66
K00794.01,Kepler,2713049,291.43997,37.905659,1022.0,CONFIRMED,0.9335567999362547,2.06,2.539183147,log_prad:+1.87;duration_ratio:+1.38;log_period:+0.65
K00795.01,Kepler,3114167,290.87051,38.273628,835.54,CONFIRMED,0.8687798772308003,2.77,6.770300385,log_prad:+2.41;log_period:+0.78;koi_srad:-0.64
K00796.01,Kepler,3114661,290.99689,38.28492,728.39,FALSE POSITIVE,0.007083104382895841,27.51,0.444291966,log_period:-2.12;duration_ratio:-1.23;koi_srad:-0.99
K00797.01,Kepler,3115833,291.28195,38.241669,1137.65,CANDIDATE,0.061918383970719554,7.73,10.181584004,duration_ratio:-1.51;log_prad:+0.56;log_period:+0.40
K00812.02,Kepler,4139816,286.07913,39.27832,327.3,CONFIRMED,0.986723069521832,1.96,20.06036336,log_prad:+2.00;duration_ratio:+1.26;koi_steff:+1.14
K00812.03,Kepler,4139816,286.07913,39.27832,327.3,CONFIRMED,0.9503333546988495,1.83,46.1842039,log_prad:+1.96;koi_steff:+1.34;duration_ratio:+1.19
K00116.04,Kepler,8395660,300.86398,44.337551,413.1,CONFIRMED,0.5232372232963444,1.31,23.9800854,log_prad:+1.39;log_period:+0.67;duration_ratio:-0.61
K00812.04,Kepler,4139816,286.07913,39.27832,327.3,CONFIRMED,0.9666467329641386,1.2,7.82502168,log_prad:+1.50;koi_steff:+1.07;log_depth:+0.84
K00813.01,Kepler,4275191,294.65524,39.308361,953.17,CONFIRMED,0.816690618587624,7.34,3.895936525,log_prad:+1.83;duration_ratio:+1.47;log_period:+0.59
K00814.01,Kepler,4476123,294.71063,39.52174,827.66,CONFIRMED,0.9633689201936328,2.32,22.36646466,log_prad:+2.50;log_depth:+1.03;log_period:+0.74
K00801.01,Kepler,3351888,293.87192,38.422939,990.35,CONFIRMED,0.936462481754999,9.73,1.625522174,duration_ratio:+1.55;log_prad:+1.43;log_depth:+0.99
K00802.01,Kepler,3453214,293.81619,38.563568,1149.35,CANDIDATE,0.881790947739437,13.6,19.620346923,log_prad:+1.76;log_depth:+0.73;duration_ratio:+0.68
K00803.01,Kepler,3554600,293.94116,38.601101,998.75,FALSE POSITIVE,0.010699732742543233,17.47,7.544039,duration_ratio:-1.47;log_prad:-0.81;log_depth:+0.58
K00804.01,Kepler,3641726,290.33362,38.72823,807.66,CONFIRMED,0.9599326634331548,2.57,9.02930689,log_prad:+2.26;duration_ratio:+1.24;log_depth:+0.72
K00805.01,Kepler,3734868,287.69675,38.886452,1285.98,FALSE POSITIVE,0.09740118395686446,13.28,10.328035714,duration_ratio:-1.71;log_prad:+0.56;log_period:+0.32
K00806.01,Kepler,3832474,285.28363,38.947281,920.47,CONFIRMED,0.953918189917982,8.9,143.2063047,log_prad:+2.27;duration_ratio:+1.54;log_depth:+1.00
K00116.03,Kepler,8395660,300.86398,44.337551,413.1,CONFIRMED,0.6790707070231022,0.79,6.164876,log_period:+0.93;log_prad:+0.71;duration_ratio:+0.52
K00806.02,Kepler,3832474,285.28363,38.947281,920.47,CONFIRMED,0.951432588803521,12.19,60.32494216,log_prad:+2.13;duration_ratio:+1.74;log_depth:+0.83
K00806.03,Kepler,3832474,285.28363,38.947281,920.47,CONFIRMED,0.9348291561232526,1.91,29.1598615,log_prad:+1.78;duration_ratio:+1.16;log_period:+0.76
K00807.01,Kepler,3836375,286.92639,38.921631,1340.39,FALSE POSITIVE,0.0058542841301517075,25.69,1.540397253,duration_ratio:-1.44;log_prad:-0.47;log_depth:+0.31
K00808.01,Kepler,3838486,287.74881,38.92955,638.81,FALSE POSITIVE,0.38990959026470773,1.7,2.99025443,log_prad:+1.47;duration_ratio:-1.19;log_depth:+0.62
K00809.01,Kepler,3935914,285.21381,39.027481,1197.1,CONFIRMED,0.5248738564893645,11.3,1.594745374,duration_ratio:+1.58;log_prad:+1.56;log_depth:+1.18
K00810.01,Kepler,3940418,287.09399,39.060719,679.69,CONFIRMED,0.9679130418660828,2.5,4.783002698,log_prad:+2.08;duration_ratio:+1.28;log_period:+0.84
K00811.01,Kepler,4049131,289.31543,39.153278,651.27,CONFIRMED,0.9541128359866362,3.41,20.50588921,log_prad:+2.37;duration_ratio:+1.12;koi_steff:+0.62
K00812.01,Kepler,4139816,286.07913,39.27832,327.3,CONFIRMED,0.9823691238991626,2.03,3.340218842,log_prad:+2.07;koi_steff:+1.30;duration_ratio:+1.28
K00828.01,Kepler,5287983,295.37805,40.493401,1205.11,FALSE POSITIVE,0.010531219495771266,30.26,2.507089906,log_prad:-2.50;duration_ratio:-1.39;log_period:+0.45
