kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_quarters
9150870,CANDIDATE,441.173690000,4.7540000e-02,-4.7540000e-02,374.0092000,4.730000e-02,-4.730000e-02,14.82000,2.90000,-2.90000,1111111111111111000000000000000
9156957,FALSE POSITIVE,3.667300500,5.1730000e-05,-5.1730000e-05,133.1255000,1.330000e-02,-1.330000e-02,3.37300,0.56300,-0.56300,11111111111111111000000000000000
9159301,FALSE POSITIVE,3.044771557,2.1700000e-07,-2.1700000e-07,132.4369070,5.910000e-05,-5.910000e-05,11.05930,0.00412,-0.00412,11111111111111111000000000000000
9163674,FALSE POSITIVE,0.773144492,3.1000000e-08,-3.1000000e-08,131.6393074,3.420000e-05,-3.420000e-05,4.05643,0.00580,-0.00580,01111111111111111000000000000000
9164788,FALSE POSITIVE,2.668111130,6.7520000e-05,-6.7520000e-05,133.5071000,2.220000e-02,-2.220000e-02,22.49000,2.50000,-2.50000,11111111111111111000000000000000
9172506,FALSE POSITIVE,50.440285363,6.2670000e-06,-6.2670000e-06,149.9083800,1.050000e-04,-1.050000e-04,12.20010,0.00639,-0.00639,11111111111111111000000000000000
9179531,FALSE POSITIVE,3.255385289,7.0600000e-07,-7.0600000e-07,132.4982770,1.800000e-04,-1.800000e-04,5.94980,0.01090,-0.01090,11111111111111111000000000000000
9963639,FALSE POSITIVE,7.418536900,1.6310000e-04,-1.6310000e-04,131.5282000,1.570000e-02,-1.570000e-02,1.45100,0.45900,-0.45900,11111101110111011000000000000000
9965691,FALSE POSITIVE,15.684344930,8.0500000e-05,-8.0500000e-05,133.0306900,4.060000e-03,-4.060000e-03,44.46300,0.23300,-0.23300,11111101110111011000000000000000
9971475,FALSE POSITIVE,5.357409918,6.7800000e-07,-6.7800000e-07,131.6376010,1.000000e-04,-1.000000e-04,4.28582,0.00587,-0.00587,11111101110111011000000000000000
10000490,FALSE POSITIVE,1.400991827,3.1000000e-07,-3.1000000e-07,132.4539750,1.830000e-04,-1.830000e-04,4.87980,0.01210,-0.01210,11111111111111111000000000000000
10002049,CANDIDATE,19.253212800,2.4870000e-04,-2.4870000e-04,144.8407000,1.180000e-02,-1.180000e-02,1.67400,0.40400,-0.40400,11111111111111111000000000000000
10014702,FALSE POSITIVE,1.340629010,2.1900000e-05,-2.1900000e-05,132.0803000,1.850000e-02,-1.850000e-02,3.07600,0.26200,-0.26200,11111111111111111000000000000000
10019854,CANDIDATE,14.101102300,3.8290000e-04,-3.8290000e-04,133.4744000,1.530000e-02,-1.530000e-02,4.51300,0.67500,-0.67500,11111111111111111000000000000000
10020423,FALSE POSITIVE,7.448375935,8.9000000e-07,-8.9000000e-07,137.6945130,1.020000e-04,-1.020000e-04,4.23892,0.00235,-0.00235,11111111111111111000000000000000
11027270,FALSE POSITIVE,0.533628226,7.4490000e-06,-7.4490000e-06,132.0033100,6.900000e-03,-6.900000e-03,5.77200,0.31100,-0.31100,11111111111111111000000000000000
11027722,FALSE POSITIVE,0.678137665,1.4700000e-07,-1.4700000e-07,132.1383690,1.840000e-04,-1.840000e-04,1.00718,0.00672,-0.00672,11111111111111111000000000000000
11029877,FALSE POSITIVE,2.069415479,2.9500000e-07,-2.9500000e-07,132.6453560,1.170000e-04,-1.170000e-04,5.71941,0.00613,-0.00613,11111111111111111000000000000000
11068630,CANDIDATE,1.817079849,7.3160000e-06,-7.3160000e-06,131.9050900,3.240000e-03,-3.240000e-03,0.88900,0.13600,-0.13600,11111111111111111000000000000000
11071207,FALSE POSITIVE,8.049634720,2.6700000e-07,-2.6700000e-07,138.6541935,2.640000e-05,-2.640000e-05,6.00488,0.00077,-0.00077,11111110111011101000000000000000
11073223,FALSE POSITIVE,11.578946873,6.1800000e-07,-6.1800000e-07,131.7977742,4.370000e-05,-4.370000e-05,4.63730,0.00181,-0.00181,11111110111011101000000000000000
11076279,FALSE POSITIVE,1.472584710,4.2300000e-07,-4.2300000e-07,132.9276900,1.420000e-04,-1.420000e-04,4.76885,0.00858,-0.00858,11111110110000000000000000000000
